>>>> spill <<<<
Testing robby/spill-test/134-r.L2f ........... passed
Testing robby/spill-test/133-r.L2f ........... passed
Testing robby/spill-test/132-r.L2f ........... passed
Testing robby/spill-test/131-r.L2f ........... passed
Testing robby/spill-test/130-r.L2f ........... passed
Testing robby/spill-test/13-u.L2f ............ passed
Testing robby/spill-test/13-r.L2f ............ passed
Testing robby/spill-test/129-y.L2f ........... passed
Testing robby/spill-test/129-r.L2f ........... passed
Testing robby/spill-test/129-d.L2f ........... passed
Testing robby/spill-test/128-r.L2f ........... passed
Testing robby/spill-test/127-r.L2f ........... passed
Testing robby/spill-test/126-r.L2f ........... passed
Testing robby/spill-test/125-r.L2f ........... passed
Testing robby/spill-test/125-CP.L2f .......... passed
Testing robby/spill-test/124-r.L2f ........... passed
Testing robby/spill-test/123-r.L2f ........... passed
Testing robby/spill-test/123-dB.L2f .......... passed
Testing robby/spill-test/122-r.L2f ........... passed
Testing robby/spill-test/121-r.L2f ........... passed
Testing robby/spill-test/121-j.L2f ........... passed
Testing robby/spill-test/120-s.L2f ........... passed
Testing robby/spill-test/120-r.L2f ........... passed
Testing robby/spill-test/12-Z.L2f ............ passed
Testing robby/spill-test/12-r.L2f ............ passed
Testing robby/spill-test/119-r.L2f ........... passed
Testing robby/spill-test/118-r.L2f ........... passed
Testing robby/spill-test/117-r.L2f ........... passed
Testing robby/spill-test/116-r.L2f ........... passed
Testing robby/spill-test/115-r.L2f ........... passed
Testing robby/spill-test/114-r.L2f ........... passed
Testing robby/spill-test/113-r.L2f ........... passed
Testing robby/spill-test/112-r.L2f ........... passed
Testing robby/spill-test/111-r.L2f ........... passed
Testing robby/spill-test/110-r.L2f ........... passed
Testing robby/spill-test/11-r.L2f ............ passed
Testing robby/spill-test/11-p.L2f ............ passed
Testing robby/spill-test/108-r.L2f ........... passed
Testing robby/spill-test/107-r.L2f ........... passed
Testing robby/spill-test/107-i.L2f ........... passed
Testing robby/spill-test/106-r.L2f ........... passed
Testing robby/spill-test/106-H.L2f ........... passed
Testing robby/spill-test/105-r.L2f ........... passed
Testing robby/spill-test/104-y.L2f ........... passed
Testing robby/spill-test/104-r.L2f ........... passed
Testing robby/spill-test/103-r.L2f ........... passed
Testing robby/spill-test/102-Sv.L2f .......... passed
Testing robby/spill-test/102-r.L2f ........... passed
Testing robby/spill-test/101-r.L2f ........... passed
Testing robby/spill-test/101-KW.L2f .......... passed
Testing robby/spill-test/101-j.L2f ........... passed
Testing robby/spill-test/101-FS.L2f .......... passed
Testing robby/spill-test/100-rH.L2f .......... passed
Testing robby/spill-test/100-r.L2f ........... passed
Testing robby/spill-test/10-r.L2f ............ passed
Testing robby/spill-test/10-O.L2f ............ passed
Testing robby/spill-test/10-Iuf.L2f .......... passed
Testing robby/spill-test/1-r.L2f ............. passed
Testing 42/spill-test/test15.L2f ............. passed
Testing 42/spill-test/test14.L2f ............. passed
Testing 42/spill-test/test13.L2f ............. passed
Testing 42/spill-test/test12.L2f ............. passed
Testing 42/spill-test/test11.L2f ............. passed
Testing 42/spill-test/test10.L2f ............. passed
Testing 42/spill-test/test09.L2f ............. passed
Testing 42/spill-test/test08.L2f ............. passed
Testing 42/spill-test/test07.L2f ............. passed
Testing 42/spill-test/test06.L2f ............. passed
Testing 42/spill-test/test04.L2f ............. passed
Testing 42/spill-test/test03.L2f ............. passed
Testing 42/spill-test/test02.L2f ............. passed
Testing 42/spill-test/test01.L2f ............. passed
Testing 41/spill-test/9.L2f .................. passed
Testing 41/spill-test/8.L2f .................. passed
Testing 41/spill-test/7.L2f .................. passed
Testing 41/spill-test/6.L2f .................. passed
Testing 41/spill-test/5.L2f .................. passed
Testing 41/spill-test/4.L2f .................. passed
Testing 41/spill-test/3.L2f .................. passed
Testing 41/spill-test/2.L2f .................. passed
Testing 41/spill-test/17.L2f ................. passed
Testing 41/spill-test/16.L2f ................. passed
Testing 41/spill-test/15.L2f ................. passed
Testing 41/spill-test/14.L2f ................. passed
Testing 41/spill-test/13.L2f ................. passed
Testing 41/spill-test/12.L2f ................. passed
Testing 41/spill-test/11.L2f ................. passed
Testing 41/spill-test/10.L2f ................. passed
Testing 41/spill-test/1.L2f .................. passed
Testing 40/spill-test/9.L2f .................. passed
Testing 40/spill-test/8.L2f .................. passed
Testing 40/spill-test/7.L2f .................. passed
Testing 40/spill-test/6.L2f .................. passed
Testing 40/spill-test/5.L2f .................. passed
Testing 40/spill-test/4.L2f .................. passed
Testing 40/spill-test/3.L2f .................. passed
Testing 40/spill-test/2.L2f .................. passed
Testing 40/spill-test/16.L2f ................. passed
Testing 40/spill-test/15.L2f ................. passed
Testing 40/spill-test/14.L2f ................. passed
Testing 40/spill-test/13.L2f ................. passed
Testing 40/spill-test/12.L2f ................. passed
Testing 40/spill-test/11.L2f ................. passed
Testing 40/spill-test/10.L2f ................. passed
Testing 40/spill-test/1.L2f .................. passed
Testing 39/spill-test/test9.L2f .............. passed
Testing 39/spill-test/test8.L2f .............. passed
Testing 39/spill-test/test7.L2f .............. passed
Testing 39/spill-test/test6.L2f .............. passed
Testing 39/spill-test/test5.L2f .............. passed
Testing 39/spill-test/test4.L2f .............. passed
Testing 39/spill-test/test3.L2f .............. passed
Testing 39/spill-test/test2.L2f .............. passed
Testing 39/spill-test/test15.L2f ............. passed
Testing 39/spill-test/test14.L2f ............. passed
Testing 39/spill-test/test13.L2f ............. passed
Testing 39/spill-test/test12.L2f ............. passed
Testing 39/spill-test/test11.L2f ............. passed
Testing 39/spill-test/test10.L2f ............. passed
Testing 39/spill-test/test1.L2f .............. passed
Testing 37/spill-test/test9.L2f .............. passed
Testing 37/spill-test/test8.L2f .............. passed
Testing 37/spill-test/test7.L2f .............. passed
Testing 37/spill-test/test6.L2f .............. passed
Testing 37/spill-test/test5.L2f .............. passed
Testing 37/spill-test/test4.L2f .............. passed
Testing 37/spill-test/test3.L2f .............. passed
Testing 37/spill-test/test2.L2f .............. passed
Testing 37/spill-test/test17.L2f ............. passed
Testing 37/spill-test/test16.L2f ............. passed
Testing 37/spill-test/test15.L2f ............. passed
Testing 37/spill-test/test14.L2f ............. passed
Testing 37/spill-test/test13.L2f ............. passed
Testing 37/spill-test/test12.L2f ............. passed
Testing 37/spill-test/test11.L2f ............. passed
Testing 37/spill-test/test10.L2f ............. passed
Testing 37/spill-test/test1.L2f .............. passed
Testing 36/spill-test/20_assign.L2f .......... passed
Testing 36/spill-test/19_store.L2f ........... passed
Testing 36/spill-test/18_print.L2f ........... passed
Testing 36/spill-test/17_redundant.L2f ....... passed
Testing 36/spill-test/16_multi.L2f ........... passed
Testing 36/spill-test/15_label.L2f ........... passed
Testing 36/spill-test/14_none.L2f ............ passed
Testing 36/spill-test/13_loop.L2f ............ passed
Testing 36/spill-test/12_cjump.L2f ........... passed
Testing 36/spill-test/12_call.L2f ............ passed
Testing 36/spill-test/11_add.L2f ............. passed
Testing 36/spill-test/01_nothing.L2f ......... passed
Testing 24/spill-test/spill-15.L2f ........... passed
Testing 24/spill-test/spill-14.L2f ........... passed
Testing 24/spill-test/spill-13.L2f ........... passed
Testing 24/spill-test/spill-12.L2f ........... passed
Testing 24/spill-test/spill-11.L2f ........... passed
Testing 24/spill-test/spill-10.L2f ........... passed
Testing 24/spill-test/spill-09.L2f ........... passed
Testing 24/spill-test/spill-08.L2f ........... passed
Testing 24/spill-test/spill-05.L2f ........... passed
Testing 24/spill-test/spill-04.L2f ........... passed
Testing 24/spill-test/spill-03.L2f ........... passed
Testing 24/spill-test/spill-02.L2f ........... passed
Testing 24/spill-test/spill-01.L2f ........... passed
Testing 22/spill-test/15.L2f ................. passed
Testing 22/spill-test/14.L2f ................. passed
Testing 22/spill-test/13.L2f ................. passed
Testing 22/spill-test/12.L2f ................. passed
Testing 22/spill-test/11.L2f ................. passed
Testing 22/spill-test/10.L2f ................. passed
Testing 22/spill-test/09.L2f ................. passed
Testing 22/spill-test/08.L2f ................. passed
Testing 22/spill-test/07.L2f ................. passed
Testing 22/spill-test/06.L2f ................. passed
Testing 22/spill-test/05.L2f ................. passed
Testing 22/spill-test/04.L2f ................. passed
Testing 22/spill-test/03.L2f ................. passed
Testing 22/spill-test/02.L2f ................. passed
Testing 22/spill-test/01.L2f ................. passed
Testing 00/spill-test/test7.L2f .............. passed
Testing 00/spill-test/test6.L2f .............. passed
Testing 00/spill-test/test5.L2f .............. passed
Testing 00/spill-test/test4.L2f .............. passed
Testing 00/spill-test/test3.L2f .............. passed
Testing 00/spill-test/test15.L2f ............. passed
Testing 00/spill-test/test14.L2f ............. passed
Testing 00/spill-test/test13.L2f ............. passed
Testing 00/spill-test/test12.L2f ............. passed
Testing 00/spill-test/test11.L2f ............. passed
>>>> Summaries <<<<
spill: 415 of 415 (100%)
