>>>> L4 <<<<
Testing 38/4-test/8.L4 ......... passed
Testing 38/4-test/7.L4 ......... passed
Testing 38/4-test/6.L4 ......... passed
Testing 38/4-test/5.L4 ......... passed
Testing 38/4-test/4.L4 ......... passed
Testing 38/4-test/3.L4 ......... passed
Testing 38/4-test/15.L4 ........ passed
Testing 38/4-test/14.L4 ........ passed
Testing 38/4-test/13.L4 ........ passed
Testing 38/4-test/12.L4 ........ passed
Testing 38/4-test/11.L4 ........ passed
Testing 38/4-test/10.L4 ........ passed
Testing 36/4-test/9.L4 ......... passed
Testing 36/4-test/8.L4 ......... passed
Testing 36/4-test/7.L4 ......... passed
Testing 36/4-test/6.L4 ......... passed
Testing 36/4-test/5.L4 ......... passed
Testing 36/4-test/4.L4 ......... passed
Testing 36/4-test/3.L4 ......... passed
Testing 36/4-test/2.L4 ......... passed
Testing 36/4-test/15.L4 ........ passed
Testing 36/4-test/14.L4 ........ passed
Testing 36/4-test/13.L4 ........ passed
Testing 36/4-test/12.L4 ........ passed
Testing 36/4-test/11.L4 ........ passed
Testing 36/4-test/10.L4 ........ passed
Testing 36/4-test/1.L4 ......... passed
Testing 35/4-test/o.L4 ......... passed
Testing 35/4-test/n.L4 ......... passed
Testing 35/4-test/m.L4 ......... passed
Testing 35/4-test/l.L4 ......... passed
Testing 35/4-test/k.L4 ......... passed
Testing 35/4-test/j.L4 ......... passed
Testing 35/4-test/i.L4 ......... passed
Testing 35/4-test/h.L4 ......... passed
Testing 35/4-test/g.L4 ......... passed
Testing 35/4-test/f.L4 ......... passed
Testing 35/4-test/e.L4 ......... passed
Testing 35/4-test/d.L4 ......... passed
Testing 35/4-test/c.L4 ......... passed
Testing 35/4-test/b.L4 ......... passed
Testing 35/4-test/a.L4 ......... passed
Testing 26/4-test/tuple.L4 ..... passed
Testing 26/4-test/sum.L4 ....... passed
Testing 26/4-test/pred.L4 ...... passed
Testing 26/4-test/let.L4 ....... passed
Testing 26/4-test/if.L4 ........ passed
Testing 26/4-test/fns2.L4 ...... passed
Testing 26/4-test/fns.L4 ....... passed
Testing 26/4-test/fac.L4 ....... passed
Testing 26/4-test/equal.L4 ..... passed
Testing 26/4-test/closure.L4 ... passed
Testing 26/4-test/begin.L4 ..... passed
Testing 26/4-test/aset.L4 ...... passed
Testing 26/4-test/array.L4 ..... passed
Testing 26/4-test/aref.L4 ...... passed
Testing 26/4-test/add.L4 ....... passed
Testing 00/4-test/test9.L4 ..... passed
Testing 00/4-test/test8.L4 ..... passed
Testing 00/4-test/test7.L4 ..... passed
Testing 00/4-test/test6.L4 ..... passed
Testing 00/4-test/test5.L4 ..... passed
Testing 00/4-test/test4.L4 ..... passed
Testing 00/4-test/test3.L4 ..... passed
Testing 00/4-test/test2.L4 ..... passed
Testing 00/4-test/test15.L4 .... passed
Testing 00/4-test/test14.L4 .... passed
Testing 00/4-test/test13.L4 .... passed
Testing 00/4-test/test12.L4 .... passed
Testing 00/4-test/test11.L4 .... passed
Testing 00/4-test/test10.L4 .... passed
Testing 00/4-test/test1.L4 ..... passed
>>>> Summaries <<<<
L4: 299 of 300 (99%)
